ID,nameFirst,nameMiddle,nameLast,nameInitials,sex,language,phoneNumber,email,loginName,validFrom,validTo,currency_code,salaryAmount,accountNumber,bankId,bankName
02BD2137-0890-1EEA-A6C2-BB55C19787FB,Sally,,Spring,,F,E,+1 224 374 524,sally.spring@itelo.info,SPRINGS,1/1/2000,12/31/9999,USD,55549,111222333,510000655,My Bank of Antioch
02BD2137-0890-1EEA-A6C2-BB55C197A7FB,Susan,,Summer,,F,E,,susan.summer@itelo.info,SUMMERS,1/1/2000,12/31/9999,USD,76239,9988776655,121000358,My Bank of San Francisco
02BD2137-0890-1EEA-A6C2-BB55C197C7FB,Franco,Richard,Fall,,M,E,,franco.fall@itelo.info,FALLF,1/1/2000,12/31/9999,USD,85962,8877665544,121000358,My Bank of San Francisco
02BD2137-0890-1EEA-A6C2-BB55C197E7FB,Walter,,Winter,,M,E,,walter.winter@itelo.info,WINTERW,1/1/2000,12/31/9999,USD,68597,7766554433,121000358,My Bank of San Francisco
02BD2137-0890-1EEA-A6C2-BB55C19807FB,Maria,,Hicks,,F,E,,maria.hicks@itelo.info,HICKSM,1/1/2000,12/31/9999,USD,49876,1122334455,26005885,My Bank of New York
02BD2137-0890-1EEA-A6C2-BB55C19827FB,John,Paul,Dash,,M,E,,john.dash@itelo.info,DASHJ,1/1/2000,12/31/9999,USD,72691,5544332211,121000358,My Bank of San Francisco
02BD2137-0890-1EEA-A6C2-BB55C19847FB,Viola,Sarah,Gains,,F,E,+1 224 374 522,viola.gains@itelo.info,GAINSV,1/1/2000,12/31/9999,USD,110962,222333444,510000655,My Bank of Antioch
02BD2137-0890-1EEA-A6C2-BB55C19867FB,Randy,,Gordon,,M,E,,randy.gordon@itelo.info,GORDONR,1/1/2000,12/31/9999,USD,81463,2233445566,26005885,My Bank of New York
02BD2137-0890-1EEA-A6C2-BB55C19887FB,Paul,,Burke,,M,E,+1 224 374 523,paul.burke@itelo.info,BURKEP,1/1/2000,12/31/9999,USD,100491,333444555,510000655,My Bank of Antioch
02BD2137-0890-1EEA-A6C2-BB55C198A7FB,Michael,,Miller,,M,E,,michael.miller@itelo.info,MILLERM,1/1/2000,12/31/9999,USD,86574,76543210,66665555,My Bank of London
